seed,probMeat,k,EquipmentPerPerson,nPeople,switchers,meatersA1,meatersA2,meatersImmo
-2021656961,0.9,0.5,0.5,1000.0,16156.0,60.0,42.0,56.0
1759822140,0.9,0.5,0.5,1000.0,17162.0,56.0,42.0,56.0
1342961030,0.9,0.5,0.5,1000.0,15133.0,60.0,42.0,59.0
-493513821,0.9,0.5,0.5,1000.0,17399.0,57.0,49.0,50.0
398847913,0.9,0.5,0.5,1000.0,15937.0,58.0,47.0,61.0
-1044925796,0.9,0.5,0.5,1000.0,16157.0,55.0,49.0,60.0
-1053670473,0.9,0.5,0.5,1000.0,16797.0,64.0,46.0,57.0
-1947734852,0.9,0.5,0.5,1000.0,16230.0,56.0,46.0,59.0
-1598971517,0.9,0.5,0.5,1000.0,17405.0,57.0,46.0,60.0
-1624002943,0.9,0.5,0.5,1000.0,17132.0,55.0,49.0,62.0
-102753641,0.5,0.6,0.5,1000.0,19887.0,50.0,53.0,45.0
-633242660,0.5,0.6,0.5,1000.0,21649.0,49.0,50.0,47.0
485388682,0.5,0.6,0.5,1000.0,20284.0,49.0,46.0,51.0
187201905,0.5,0.6,0.5,1000.0,19213.0,50.0,49.0,54.0
-629892838,0.5,0.6,0.5,1000.0,19318.0,53.0,47.0,49.0
-1963564556,0.5,0.6,0.5,1000.0,20163.0,49.0,54.0,51.0
733785747,0.5,0.6,0.5,1000.0,19798.0,49.0,46.0,52.0
-378721222,0.5,0.6,0.5,1000.0,20435.0,51.0,54.0,55.0
2135042208,0.5,0.6,0.5,1000.0,19710.0,47.0,47.0,57.0
-546896574,0.5,0.6,0.5,1000.0,20274.0,50.0,50.0,50.0
-511155691,0.2,0.2,0.5,1000.0,6502.0,45.0,53.0,45.0
555210192,0.2,0.2,0.5,1000.0,6394.0,45.0,50.0,44.0
-1858459646,0.2,0.2,0.5,1000.0,6495.0,41.0,53.0,45.0
-502309534,0.2,0.2,0.5,1000.0,6406.0,42.0,55.0,46.0
1619524717,0.2,0.2,0.5,1000.0,6864.0,48.0,60.0,42.0
62469166,0.2,0.2,0.5,1000.0,6395.0,38.0,47.0,44.0
-422680925,0.2,0.2,0.5,1000.0,6419.0,41.0,56.0,43.0
-344093744,0.2,0.2,0.5,1000.0,6391.0,41.0,49.0,44.0
-1383824119,0.2,0.2,0.5,1000.0,6317.0,41.0,50.0,43.0
60169480,0.2,0.2,0.5,1000.0,5778.0,47.0,50.0,45.0
83208046,0.30000000000000004,1.8000000000000005,0.5,1000.0,50969.0,45.0,50.0,51.0
